Root	SpeakerID	Component	Group	Age	Gender	CEF	DialectRegion	Duration (seconds)	Duration (days)
fn000029	N000016	comp-p	4	28	M	A1	N4a	861.4805	0.009971
fn000036	N000019	comp-p	4	23	M	A1	N4a	561.2528	0.006496
fn000042	N000022	comp-p	4	21	F	A2	N4a	476.7111	0.005517
fn000046	N000024	comp-p	4	26	F	A2	N4a	421.3140	0.004876
fn000048	N000025	comp-p	1	8	F		N2c	328.7535	0.003805
fn000050	N000026	comp-p	1	8	M		N2c	379.3408	0.004391
fn000052	N000027	comp-p	1	9	M		N2c	385.0918	0.004457
fn000059	N000028	comp-p	1	10	M		N2c	566.6005	0.006558
fn000061	N000029	comp-p	1	10	M		N2c	333.1270	0.003856
fn000063	N000030	comp-p	1	9	F		N2c	422.4307	0.004889
fn000065	N000031	comp-p	1	8	F		N2c	417.8640	0.004836
fn000067	N000032	comp-p	1	8	F		N2c	280.9634	0.003252
fn000069	N000033	comp-p	1	8	F		N2c	279.2212	0.003232
fn000071	N000034	comp-p	1	8	F		N2c	411.7867	0.004766
fn000075	N000036	comp-p	1	8	M		N2c	332.6333	0.003850
fn000077	N000037	comp-p	1	8	F		N2c	340.4792	0.003941
fn000079	N000038	comp-p	1	8	F		N2c	419.6624	0.004857
fn000081	N000039	comp-p	1	9	F		N2c	359.9737	0.004166
fn000083	N000040	comp-p	1	10	M		N2c	354.6211	0.004104
fn000086	N000041	comp-p	1	10	M		N2c	376.0272	0.004352
fn000088	N000042	comp-p	1	10	F		N2c	315.0569	0.003646
fn000091	N000043	comp-p	1	10	M		N2c	367.7840	0.004257
fn000093	N000044	comp-p	1	11	M		N2c	254.3896	0.002944
fn000095	N000045	comp-p	1	12	M		N2c	260.5928	0.003016
fn000097	N000046	comp-p	1	13	M		N2c	301.3949	0.003488
fn000099	N000047	comp-p	1	11	M		N2c	375.6075	0.004347
fn000101	N000048	comp-p	1	10	M		N2c	289.2671	0.003348
fn000103	N000049	comp-p	1	10	F		N2c	312.9899	0.003623
